iteracion,tiempo,promedio,mejor,peor
272,0.4259212017059326,4463.522449541284,4166.612,7362.779000000001
273,0.40391039848327637,4569.917155963302,4166.612,7588.992
274,0.32547783851623535,4402.09195412844,4166.612,6244.290000000001
275,2.2948405742645264,4503.7688807339455,4166.612,7482.911
276,0.6840856075286865,4655.548871559633,4166.612,7510.347999999999
277,0.26468348503112793,4625.764293577982,4166.612,8468.712000000001
278,0.6117444038391113,4547.974688073395,4166.612,7408.201000000001
279,0.3165595531463623,4555.7096605504585,4166.612,7642.399000000002
280,0.48466014862060547,4533.241798165137,4166.612,7519.500999999999
281,0.36043787002563477,4587.326128440367,4166.612,8092.068000000002
282,1.1137216091156006,4558.352550458716,4166.612,8287.895999999999
283,0.9698805809020996,4425.152972477064,4166.612,7301.908000000001
284,1.2876083850860596,4554.441880733944,4166.612,7485.526000000001
285,0.8933424949645996,4578.6669999999995,4166.612,8028.89
286,0.46695852279663086,4460.88719266055,4166.612,7511.501
287,0.5639827251434326,4532.313330275229,4166.612,7772.602
288,0.8563880920410156,4483.263844036697,4166.612,7566.955
289,0.7713570594787598,4532.880495412844,4166.612,7307.963
290,0.31859445571899414,4630.173064220184,4166.612,8607.929000000004
291,0.41797614097595215,4604.457440366972,4166.612,8742.592
292,0.5884804725646973,4617.032981651376,4166.612,8116.727000000003
293,0.3787996768951416,4541.186642201835,4166.612,8773.569999999998
294,1.0014722347259521,4556.413339449541,4166.612,7582.004999999999
295,0.6788938045501709,4586.1080091743115,4166.612,8311.089
296,0.4331531524658203,4488.852458715596,4166.612,7384.932000000001
297,0.07737994194030762,4482.2719541284405,4166.612,6631.796000000001
298,0.12904763221740723,4566.756357798165,4166.612,7729.118000000001
299,0.08061337471008301,4612.690275229358,4166.612,7580.511000000002
300,0.13476228713989258,4549.326889908257,4166.612,8122.769000000002
301,0.07529497146606445,4496.628110091743,4166.612,7813.202
302,0.5255141258239746,4577.521201834862,4166.612,8981.297999999999
303,0.12083268165588379,4588.033825688073,4166.612,7867.204000000001
304,0.10544586181640625,4641.247119266055,4166.612,7536.5340000000015
305,0.2570831775665283,4606.439770642201,4166.612,8217.75
306,0.5958740711212158,4504.2618348623855,4166.612,6866.331000000001
307,0.23557233810424805,4563.946880733944,4166.612,8595.199
308,0.440319299697876,4487.079128440367,4166.612,7569.369000000001
309,1.009242296218872,4465.406394495412,4166.612,7354.815000000002
310,1.4011070728302002,4511.524981651376,4166.612,7701.091
311,3.6587185859680176,4586.017036697247,4166.612,8910.291
312,2.0636377334594727,4494.578981651376,4166.612,6480.918000000002
313,1.4696714878082275,4544.183266055045,4166.612,7426.314000000002
314,0.513054370880127,4620.899275229358,4166.612,9131.895
315,0.27610254287719727,4399.405834862385,4166.612,7045.22
316,4.732832670211792,4505.7298073394495,4166.612,8256.577000000001
317,0.9048831462860107,4551.007504587155,4166.612,7027.519000000001
318,0.37867021560668945,4610.690825688073,4166.612,8186.053000000001
319,0.6715264320373535,4508.009889908257,4166.612,7434.497000000002
320,0.6468198299407959,4627.150128440367,4166.612,7699.004000000001
321,2.0518062114715576,4674.205422018349,4166.612,8568.581
322,0.2237100601196289,4630.816559633027,4166.612,8276.267000000003
323,0.6841907501220703,4519.099532110092,4166.612,9217.615
324,1.0150506496429443,4548.440633027522,4166.612,7940.173000000003
325,0.7221755981445312,4623.885724770642,4166.612,7437.6770000000015
326,0.6412382125854492,4576.945211009174,4166.612,9083.228000000001
327,0.9424388408660889,4498.132853211009,4166.612,7793.323000000003
328,0.5503487586975098,4596.991229357798,4166.612,7474.222000000002
329,0.2633657455444336,4473.127440366972,4166.612,8672.140000000001
330,0.9371778964996338,4500.865889908257,4166.612,7237.986000000002
331,1.9778015613555908,4418.320256880734,4166.612,8027.018000000001
332,1.0918550491333008,4455.321064220183,4166.612,7378.493000000002
333,0.40060853958129883,4475.641165137615,4166.612,7222.613
334,0.6172850131988525,4664.242816513762,4166.612,7546.362000000002
335,0.30214762687683105,4552.006376146789,4166.612,7830.025999999998
336,1.008181095123291,4452.423541284404,4166.612,7514.619999999999
337,0.9210109710693359,4484.995770642202,4166.612,7567.428000000002
338,0.7880733013153076,4447.386917431193,4166.612,7830.630999999999
339,0.9894428253173828,4501.054880733945,4166.612,7746.133000000001
340,0.5163557529449463,4366.152651376146,4166.612,6322.746000000001
341,1.3906409740447998,4508.887045871559,4166.612,8138.510000000001
342,0.35469865798950195,4511.290660550459,4166.612,7875.465000000003
343,0.3946259021759033,4642.442192660551,4166.612,9282.487000000001
344,0.30849409103393555,4522.9269633027525,4166.612,8034.7980000000025
345,0.8362345695495605,4531.492550458715,4166.612,8099.499999999999
346,0.9073171615600586,4498.436743119266,4166.612,7459.702000000001
347,0.7093698978424072,4501.555311926605,4166.612,7398.6309999999985
348,0.3084108829498291,4464.151256880734,4166.612,7278.674
349,0.8057043552398682,4575.634889908257,4166.612,7625.044999999999
350,0.5578281879425049,4494.382302752293,4166.612,7203.705000000001
351,0.3373861312866211,4463.173137614679,4166.612,7987.079000000001
352,0.44599342346191406,4490.548688073394,4166.612,8105.071999999998
353,0.31521105766296387,4582.864412844036,4166.612,7727.515000000002
354,0.6093461513519287,4487.950954128441,4166.612,7297.554000000001
355,0.6108369827270508,4408.9072018348625,4166.612,7504.896000000001
356,1.050729751586914,4494.726018348624,4166.612,7790.087000000001
357,1.1095640659332275,4461.949825688073,4166.612,8225.646000000002
358,1.5840332508087158,4489.627623853211,4166.612,7702.290999999998
359,1.3971879482269287,4386.32776146789,4166.612,6812.317000000001
360,1.686471939086914,4435.482706422018,4166.612,7102.118000000004
361,0.8113343715667725,4488.67795412844,4166.612,7905.9980000000005
362,0.7502870559692383,4446.753880733945,4166.612,7997.685000000001
363,1.4097061157226562,4448.5821651376145,4166.612,7319.501000000002
364,0.9701204299926758,4604.530752293578,4166.612,7390.373000000002
365,0.5022881031036377,4559.0484403669725,4166.612,8722.345000000001
366,1.2185111045837402,4635.50071559633,4166.612,8776.524000000003
367,0.7527682781219482,4437.465027522935,4166.612,6903.623000000002
368,4.210860013961792,4483.69623853211,4166.612,7350.947000000003
369,1.0384414196014404,4427.652293577981,4166.612,6355.1
370,1.1178007125854492,4602.519926605505,4166.612,7822.3470000000025
371,0.34470438957214355,4509.592256880734,4166.612,8630.701000000001
